search_id,patient_id,search_query,filters_applied,treatment_clicked,country_clicked,clicked_clinic_id,time_on_search_page,timestamp
1,2febcc33-cf5c-4dd3-9f10-7434eb096202,ivf treatment,feature:luxury,knee replacement,Australia,502,76,2025-04-05 14:19:30
2,7957595f-25ee-4f0f-b6a3-0eb0c50c71f4,plastic surgery abroad,specialty:cosmetic,dental implants,Egypt,865,20,2025-04-07 14:19:30
3,6ed338be-4cc6-467e-8ddb-3f9e81300e68,knee replacement,feature:financing,plastic surgery abroad,Italy,408,219,2025-03-21 14:19:30
4,b169fded-f972-4977-92c0-3f9bdf16eb70,cheap surrogacy,"verified, specialty:fertility, language:spanish",hair transplant,Vietnam,697,84,2025-03-22 14:19:30
5,373058be-4892-4bd6-a399-40dd4e1f39be,cardiology clinic,specialty:dental,ivf treatment,Argentina,779,188,2025-03-05 14:19:30
6,6ff6881f-77dd-462b-8a6b-836b157f108b,hair transplant,rating:4+,ivf treatment,Netherlands,1099,198,2025-04-08 14:19:30
7,532da8fe-73fe-4e1d-b36d-eb139f534d9a,hair transplant,"specialty:cosmetic, feature:telemedicine, specialty:dental",knee replacement,Turkey,94,153,2025-04-08 14:19:30
8,b28d7506-7130-4648-a6eb-e7029e418884,knee replacement,language:spanish,dermatology clinic,South Korea,570,191,2025-03-29 14:19:30
9,7408f646-53a7-4719-bcdf-83028c37e264,cardiology clinic,"feature:luxury, specialty:dental",cosmetic surgery,Denmark,1248,278,2025-03-18 14:19:30
10,5b7c57e8-fdf0-4450-985b-4b176d9b1eb1,dermatology clinic,"feature:luxury, feature:financing, feature:telemedicine, language:english",dental implants,Malaysia,665,122,2025-04-14 14:19:30
11,c13d8929-b717-448d-9f57-fd27441999b6,cardiology clinic,"feature:luxury, specialty:dental, feature:telemedicine, specialty:cosmetic",cardiology clinic,Hungary,1471,113,2025-01-25 14:19:30
12,a84ca488-ec40-44c6-9a60-69f38e40b294,mental health support,"specialty:fertility, feature:luxury, specialty:cosmetic, specialty:dental",plastic surgery abroad,Romania,1526,280,2025-03-16 14:19:30
