clinic_id,clinic_name,country,city,specialties,languages_spoken,is_verified,has_profile_photo,has_doctor_bio,has_services_listed,has_prices_listed,has_reviews,completeness_score,average_price,average_review_rating,response_rate_percent,average_response_time_hours,last_updated_date,total_clicks,last_clicked_date,clinic_activity_score,inquiries_last_30_days,last_response_date
1,"Rodriguez, Figueroa and Sanchez",Germany,Berlin,Dermatology,"Spanish, Croatian",0,0,0,1,0,0,,1390.1,1.9,88,2.9,2025-03-24,733,2025-03-08,89,34,2025-04-05
2,Doyle Ltd,Mexico,Mexico City,"Cosmetic Surgery, Dental, Fertility","Turkish, German, Thai",0,0,1,0,0,1,,1418.81,4.4,88,19.8,2025-04-13,747,2025-03-20,68,7,2025-03-20
3,"Mcclain, Miller and Henderson",Thailand,Bangkok,"Cosmetic Surgery, Cardiology, Dermatology","Spanish, Thai, English",0,0,1,0,0,0,,4111.2,2.8,73,12.5,2025-03-04,214,2025-03-07,34,44,2025-03-20
4,Davis and Sons,Germany,Hamburg,Cardiology,"Spanish, Hindi, Croatian",0,1,1,1,0,1,,8507.09,4.1,64,59.3,2025-03-09,410,2025-04-01,8,13,2025-03-20
5,"Guzman, Hoffman and Baldwin",India,Bangalore,"Fertility, Orthopedics","Thai, Turkish",0,1,0,0,1,1,,9029.32,2.6,64,71.8,2025-04-01,521,2025-03-18,11,48,2025-04-17
6,"Gardner, Robinson and Lawrence",Croatia,Zagreb,Dermatology,Croatian,1,0,1,1,1,1,,9725.24,4.4,50,49.3,2025-04-04,698,2025-02-21,68,48,2025-04-10
7,Blake and Sons,Croatia,Dubrovnik,"Dental, Cosmetic Surgery","Spanish, Turkish",0,1,0,0,1,0,,1951.97,4.1,84,68.7,2025-02-10,940,2025-04-18,76,20,2025-04-03
8,"Henderson, Ramirez and Lewis",USA,Los Angeles,"Cosmetic Surgery, Fertility",Spanish,0,0,1,0,0,0,,6767.63,4.8,60,19.8,2025-01-31,433,2025-04-05,69,48,2025-03-26
9,Garcia-James,Germany,Berlin,"Cosmetic Surgery, Orthopedics, Dermatology","Hindi, Turkish",0,0,0,0,1,0,,6088.93,1.9,64,1.5,2025-01-18,646,2025-04-15,29,4,2025-03-21
10,Abbott-Munoz,USA,New York,Cardiology,German,1,0,0,1,0,1,,8171.22,1.8,56,47.8,2025-03-04,433,2025-03-23,59,46,2025-04-17
11,Blair PLC,Germany,Hamburg,"Dental, Dermatology, Orthopedics","German, English, Spanish",0,0,1,0,1,0,,3146.18,2.0,54,32.5,2025-02-07,100,2025-04-15,83,34,2025-03-23
12,Dudley Group,USA,Los Angeles,Fertility,"Turkish, Croatian",0,1,0,0,1,0,,9860.43,2.1,100,56.7,2025-03-13,433,2025-03-05,93,50,2025-04-01
13,Arnold Ltd,Germany,Hamburg,"Fertility, Dermatology","Spanish, English",0,1,0,0,1,0,,1040.36,3.0,61,5.9,2025-04-10,691,2025-02-22,30,25,2025-04-15
14,"Mcclure, Ward and Lee",India,Delhi,"Cardiology, Dental, Dermatology","Thai, Hindi",1,1,0,1,0,1,,4259.97,3.7,69,33.5,2025-04-09,9,2025-03-20,79,36,2025-04-15
15,Williams and Sons,USA,Miami,Cardiology,"Spanish, German",0,0,1,1,0,1,,8420.58,3.8,89,70.9,2025-01-25,541,2025-04-18,85,35,2025-04-09
16,Galloway-Wyatt,Germany,Berlin,Cosmetic Surgery,English,0,1,1,0,1,0,,7031.22,4.4,82,35.7,2025-04-12,94,2025-03-09,54,17,2025-04-17
17,James Group,USA,New York,Dermatology,"Spanish, Thai",1,1,0,0,0,0,,5683.11,4.3,87,40.2,2025-02-22,130,2025-04-16,39,23,2025-03-21
18,"Flowers, Martin and Kelly",Croatia,Zagreb,"Fertility, Dermatology","English, German, Hindi",1,0,0,0,0,1,,735.47,3.9,71,56.5,2025-02-25,821,2025-03-07,94,15,2025-04-10
19,"Adams, Zuniga and Wong",Mexico,Tijuana,Orthopedics,Croatian,1,0,0,1,1,1,,8295.1,4.5,64,2.7,2025-03-25,408,2025-03-28,35,4,2025-03-19
20,"Reid, Ferguson and Sanchez",Croatia,Split,"Dermatology, Cardiology","Thai, Hindi",1,0,0,1,0,1,,863.44,3.4,72,52.7,2025-03-09,446,2025-03-11,65,7,2025-04-06
21,Gray-Mayo,India,Delhi,"Dental, Orthopedics",Hindi,0,1,1,0,1,1,,6802.18,1.5,69,37.0,2025-01-23,418,2025-03-29,51,44,2025-04-09
22,"Watts, Robinson and Nguyen",India,Delhi,Orthopedics,"Turkish, Thai, Spanish",1,1,0,1,1,0,,4583.94,3.3,91,23.9,2025-02-21,452,2025-03-06,27,32,2025-04-03
23,Perez Inc,Croatia,Dubrovnik,Dermatology,German,1,0,0,1,0,0,,1899.86,1.2,80,44.4,2025-04-09,466,2025-03-23,80,36,2025-04-12
24,Morales-Jones,Germany,Hamburg,"Orthopedics, Dermatology",Spanish,0,0,1,0,0,1,,977.07,2.0,57,33.4,2025-02-18,683,2025-03-16,71,38,2025-04-08
25,"Walter, Edwards and Rios",Croatia,Split,"Dermatology, Cardiology, Orthopedics","Turkish, Spanish, Croatian",1,1,0,1,1,0,,3108.68,1.3,68,17.6,2025-03-07,327,2025-02-20,69,5,2025-04-14
26,Wilkerson-Day,Mexico,Cancun,"Dermatology, Fertility","Spanish, English, Turkish",1,1,1,1,0,0,,8412.47,2.6,99,42.5,2025-01-19,20,2025-02-23,97,36,2025-04-06
27,Baker and Sons,Thailand,Bangkok,"Cosmetic Surgery, Orthopedics","Hindi, Thai",0,1,0,1,1,1,,775.74,2.3,93,57.7,2025-03-28,860,2025-03-20,16,39,2025-04-01
28,"Hoffman, Baker and Richards",USA,New York,"Cardiology, Dental, Dermatology","Turkish, Spanish, Croatian",0,0,1,1,1,0,,4819.64,2.4,74,20.8,2025-02-24,258,2025-02-24,10,30,2025-04-18
29,"Ross, Robinson and Bright",Germany,Hamburg,Cosmetic Surgery,Thai,0,0,0,0,0,0,,6402.69,2.0,80,48.5,2025-02-05,970,2025-04-05,59,44,2025-04-10
30,"Snyder, Campos and Callahan",Croatia,Split,Cardiology,"Thai, Croatian, English",0,1,0,0,1,1,,4268.22,3.9,54,43.0,2025-01-28,248,2025-04-12,89,49,2025-04-09
31,Burton Ltd,Croatia,Dubrovnik,"Dental, Cardiology, Dermatology","Hindi, Turkish",1,0,1,0,1,1,,1502.62,4.8,90,64.3,2025-02-19,724,2025-04-09,55,11,2025-03-26
32,Carlson-Cruz,India,Bangalore,"Cardiology, Dermatology","Turkish, Croatian",1,1,0,0,1,1,,2816.7,2.9,89,48.4,2025-03-06,29,2025-03-18,41,11,2025-04-03
33,"Ferrell, Rice and Maddox",Mexico,Mexico City,"Cosmetic Surgery, Dermatology","Thai, German, Hindi",0,0,0,0,1,1,,5774.17,2.0,80,46.9,2025-02-15,458,2025-02-27,2,5,2025-04-09
34,Frazier Inc,Mexico,Mexico City,"Fertility, Cosmetic Surgery, Cardiology","Hindi, Croatian",1,1,1,1,1,1,,3412.92,1.9,96,14.7,2025-04-03,760,2025-03-15,97,44,2025-04-13
35,"Dyer, Potter and Mack",Mexico,Cancun,"Orthopedics, Cosmetic Surgery, Cardiology",Croatian,0,1,0,1,0,1,,634.41,3.1,67,4.2,2025-04-12,566,2025-03-31,89,8,2025-03-29
36,Rodriguez-Graham,Croatia,Split,Dental,"German, Turkish, Thai",1,1,0,0,1,1,,1583.83,1.3,81,6.3,2025-01-28,702,2025-04-15,19,9,2025-03-24
37,Smith-Bowen,India,Mumbai,Fertility,Hindi,1,0,1,1,1,1,,8671.58,5.0,69,41.4,2025-04-11,624,2025-03-02,12,48,2025-04-12
38,"Baker, Mason and White",Germany,Berlin,"Dermatology, Dental",Spanish,0,0,0,0,1,1,,7049.03,2.9,52,17.4,2025-01-18,289,2025-03-05,58,4,2025-03-28
39,Harrell LLC,Mexico,Mexico City,"Cardiology, Fertility, Orthopedics",Hindi,0,0,1,0,0,0,,2076.27,2.2,97,59.5,2025-03-13,449,2025-04-11,59,44,2025-04-09
40,"Romero, Gonzalez and Brooks",Germany,Munich,"Cardiology, Dermatology","Turkish, English",0,1,1,1,0,0,,2674.78,3.7,86,42.7,2025-04-16,783,2025-03-06,34,36,2025-04-17
41,Ryan PLC,Croatia,Zagreb,"Cardiology, Orthopedics","Spanish, Hindi",1,1,0,1,1,1,,3666.43,3.7,60,24.4,2025-01-20,507,2025-03-31,84,25,2025-03-23
42,George Group,Croatia,Dubrovnik,Orthopedics,German,1,1,0,1,0,1,,4425.85,1.8,73,45.2,2025-02-14,640,2025-03-21,97,3,2025-04-12
43,Rodriguez LLC,Turkey,Izmir,Cosmetic Surgery,"Thai, Turkish",0,0,0,0,1,0,,5746.39,1.4,57,33.8,2025-04-03,663,2025-02-24,19,31,2025-03-20
44,Allen-Allen,Germany,Munich,"Dermatology, Cosmetic Surgery, Orthopedics","Turkish, Spanish",1,0,1,0,0,0,,3124.35,4.2,76,25.1,2025-02-13,273,2025-02-25,0,18,2025-03-26
45,"Arroyo, Miller and Tucker",Turkey,Izmir,"Dermatology, Orthopedics, Fertility","Hindi, Turkish",1,1,1,1,1,0,,9817.36,2.0,74,17.6,2025-02-25,44,2025-03-29,95,30,2025-03-27
